lat,long,elev,time
408636255,-778374278,3334,6.12
408636135,-778374286,3333,6.13
408636016,-778374292,3333,6.14
408635895,-778374301,3333,6.15
408635774,-778374306,3333,6.16
408635655,-778374319,3333,6.17
408635537,-778374319,3333,6.18
408635418,-778374322,3332,6.19
408635299,-778374323,3333,6.2
408635178,-778374325,3332,6.21
408635058,-778374323,3332,6.22
408634941,-778374320,3332,6.23
408634820,-778374317,3332,6.24
408634701,-778374314,3332,6.25
408634583,-778374307,3332,6.26
408634465,-778374303,3332,6.27
408634347,-778374291,3331,6.28
408634229,-778374282,3331,6.29
408634113,-778374271,3331,6.3
408633993,-778374259,3331,6.31
408633874,-778374244,3331,6.32
408633757,-778374230,3331,6.33
408633639,-778374213,3331,6.34
408633524,-778374195,3331,6.35
408633407,-778374178,3331,6.36
408633291,-778374166,3331,6.37
408633177,-778374138,3330,6.38
408633063,-778374115,3330,6.39
408632950,-778374095,3330,6.4
408632836,-778374071,3330,6.41
408632723,-778374042,3330,6.42
408632612,-778374015,3330,6.43
408632499,-778373987,3330,6.44
408632389,-778373958,3329,6.45
408632277,-778373927,3329,6.46
408632167,-778373900,3329,6.47
408632060,-778373864,3329,6.48
408631950,-778373830,3329,6.49
408631843,-778373795,3329,6.5
408631735,-778373759,3328,6.51
408631628,-778373722,3328,6.52
408631524,-778373684,3328,6.53
408631420,-778373645,3328,6.54
408631317,-778373605,3328,6.55
408631215,-778373566,3328,6.56
408631109,-778373529,3328,6.57
408631010,-778373482,3328,6.58
408630910,-778373442,3328,6.59
408630814,-778373400,3327,6.6
408630717,-778373356,3327,6.61
408630617,-778373309,3327,6.62
408630522,-778373265,3327,6.63
408630428,-778373219,3327,6.64
408630336,-778373173,3327,6.65
408630241,-778373126,3327,6.66
408630144,-778373081,3327,6.67
408630055,-778373032,3327,6.68
408629967,-778372983,3327,6.69
408629879,-778372937,3327,6.7
408629791,-778372887,3326,6.71
408629706,-778372839,3326,6.72
408629621,-778372791,3326,6.73
408629537,-778372744,3326,6.74
408629456,-778372694,3326,6.75
408629375,-778372645,3326,6.76
408629294,-778372596,3326,6.77
408629219,-778372547,3325,6.78
408629144,-778372496,3325,6.79
408629070,-778372446,3325,6.8
408628994,-778372397,3325,6.81
408628923,-778372348,3325,6.82
408628852,-778372297,3325,6.83
408628783,-778372249,3325,6.84
408628714,-778372199,3324,6.85
408628645,-778372147,3325,6.86
408628573,-778372098,3325,6.87
408628514,-778372050,3324,6.88
408628450,-778371997,3324,6.89
408628387,-778371950,3324,6.9
408628322,-778371899,3324,6.91
408628260,-778371846,3324,6.92
408628198,-778371796,3324,6.93
408628138,-778371741,3324,6.94
408628078,-778371692,3324,6.95
408628022,-778371638,3324,6.96
408627964,-778371587,3323,6.97
408627914,-778371535,3323,6.98
408627860,-778371481,3323,6.99
408627809,-778371428,3323,7
408627758,-778371373,3323,7.01
408627708,-778371321,3323,7.02
408627659,-778371267,3323,7.03
408627611,-778371213,3322,7.04
408627565,-778371161,3322,7.05
408627522,-778371105,3322,7.06
408627472,-778371052,3322,7.07
408627433,-778370999,3322,7.08
408627433,-778370999,3322,7.09
408627393,-778370946,3322,7.1
408627357,-778370891,3322,7.11
408627320,-778370836,3322,7.12
408627284,-778370783,3322,7.13
408627214,-778370677,3322,7.14
408627181,-778370619,3321,7.15
408627181,-778370619,3321,7.16
408627149,-778370562,3321,7.17
408627112,-778370507,3321,7.18
408627083,-778370448,3321,7.19
408627052,-778370390,3321,7.2
408627018,-778370337,3320,7.21
408626986,-778370282,3321,7.22
408626957,-778370224,3320,7.23
408626926,-778370166,3320,7.24
408626899,-778370105,3320,7.25
408626872,-778370043,3320,7.26
408626847,-778369982,3320,7.27
408626820,-778369925,3320,7.28
408626798,-778369867,3320,7.29
408626774,-778369803,3320,7.3
408626745,-778369739,3320,7.31
408626720,-778369676,3320,7.32
408626698,-778369618,3320,7.33
408626680,-778369552,3320,7.34
408626661,-778369478,3320,7.35
408626643,-778369410,3321,7.36
408626623,-778369345,3320,7.37
408626602,-778369285,3321,7.38
408626584,-778369219,3321,7.39
408626563,-778369148,3321,7.4
408626546,-778369081,3321,7.41
408626527,-778369012,3321,7.42
408626507,-778368944,3321,7.43
408626491,-778368872,3321,7.44
408626473,-778368799,3321,7.45
408626452,-778368728,3321,7.46
408626433,-778368653,3321,7.47
408626415,-778368586,3321,7.48
408626404,-778368510,3321,7.49
408626354,-778368287,3321,7.5
408626335,-778368208,3321,7.51
408626317,-778368130,3321,7.52
408626306,-778368053,3321,7.53
408626297,-778367978,3321,7.54
408626287,-778367897,3321,7.55
408626269,-778367819,3322,7.56
408626253,-778367735,3321,7.57
408626236,-778367654,3321,7.58
408626225,-778367573,3321,7.59
408626217,-778367490,3322,7.6
408626214,-778367405,3322,7.61
408626204,-778367331,3322,7.62
408626184,-778367256,3321,7.63
408626165,-778367179,3321,7.64
408626150,-778367097,3321,7.65
408626139,-778367019,3322,7.66
408626138,-778366938,3322,7.67
408626137,-778366855,3322,7.68
408626124,-778366779,3322,7.69
408626104,-778366702,3322,7.7
408626094,-778366625,3322,7.71
408626084,-778366548,3322,7.72
408626079,-778366468,3322,7.73
408626072,-778366387,3322,7.74
408626064,-778366305,3322,7.75
408626053,-778366230,3322,7.76
408626046,-778366156,3322,7.77
408626038,-778366077,3323,7.78
408626030,-778366001,3322,7.79
408626020,-778365923,3322,7.8
